. depth . depth																						
Depth (m) EDC	Ice age (a 1950) AICC		depth m EDC	Gas age (a 1950) AICC		EDC depth[m]	EDC CH4 [ppbv]		Gas age (a 1950) AICC	depth/gas age m EDC		depth m EDC (ref)	CO2compositBereiter		Ice age (a 1950) AICC	Depth/Ice age (m) EDC		Depth(m) EDC	EDC deut cor		Depth (m) EDC (ref)	nssCA800ka
202.95	6091.88		260.7	6001.39		244.48	558		6001.39	260.7		100.7348926	276.32		6091.88	202.95		74.25	-391.5		2318.149112	101.963
204.6	6152.24		262.35	6018.02		246.29	574		6018.02	262.35		100.8740172	276.66		6152.24	204.6		74.8	-403.4		2325.148476	126.883
206.25	6211.86		264	6067.02		247.76	561		6067.02	264		101.4551504	278.02		6211.86	206.25		75.35	-393.4		2331.443889	232.097
207.9	6271.95		265.65	6142.22		247.86	564		6142.22	265.65		101.6197959	276.69		6271.95	207.9		75.9	-393.8		2337.278316	248.066
209.55	6333.9		267.3	6250.96		249.53	577		6250.96	267.3		101.8184694	273.78		6333.9	209.55		76.45	-400.8		2343.093169	213.754
211.2	6395.52		268.95	6329.61		250.6	565		6329.61	268.95		102.1576853	271.11		6395.52	211.2		77	-399.3		2348.991176	169.637
212.85	6458.97		270.6	6356.28		251.73	570		6356.28	270.6		102.2647315	275.07		6458.97	212.85		77.55	-396.6		2355.206944	174.859
214.5	6516.94		272.25	6402.65		252.85	566		6402.65	272.25		104.0775144	279.36		6516.94	214.5		78.1	-395.3		2360.996	248.672
216.15	6580.44		273.9	6489.72		253.44	580		6489.72	273.9		104.1410455	281.11		6580.44	216.15		78.65	-392.6		2366.822051	181.717
217.8	6642.38		275.55	6549.15		255.06	581		6549.15	275.55		104.484023	282.57		6642.38	217.8		79.2	-404.4		2373.024734	162.435
219.45	6706.43		277.2	6622.58		255.82	563		6622.58	277.2		104.7813305	281.83		6706.43	219.45		79.75	-394.4		2378.535025	326.317
221.1	6766.59		278.85	6715.05		256.03	568		6715.05	278.85		105.0121677	283.53		6766.59	221.1		80.3	-402.2		2383.7	460.319
222.75	6828.86		280.5	6769.53		257.29	591		6769.53	280.5		105.4636681	283.95		6828.86	222.75		80.85	-401.9		2388.663866	588.174
224.4	6890.37		282.15	6776.27		258.33	571		6776.27	282.15		106.0728945	283.12		6890.37	224.4		81.4	-393.8		2393.362288	469.954
226.05	6946.67		283.8	6885.61		258.65	578		6885.61	283.8		106.7597888	280.31		6946.67	226.05		81.95	-402.3		2398.110491	387.151
227.7	7008.11		285.45	6939.41		258.78	570		6939.41	285.45		107.1924916	282.23		7008.11	227.7		82.5	-385.1		2403.018163	230.065
229.35	7069.53		287.1	7039.11		258.92	581		7036.72	288.75		108.0880425	279.73		7069.53	229.35		83.05	-395.9		2407.91758	161.065
231	7132.9		288.75	7036.72		259.98	584		7039.11	287.1		109.7351852	279.7		7132.9	231		83.6	-395.8		2413.312438	117.817
232.65	7196.54		290.4	7122.48		260.53	586		7122.48	290.4		111.1153786	280.91		7196.54	232.65		84.15	-398.2		2418.929255	123.705
